Vegetable
Onion
Garlic
Carrot
Celery
Potato
Sweet potato
Tomato
Cucumber
Zucchini
Yellow squash
Butternut squash
Acorn squash
Pumpkin
Bell pepper
Jalapeño
Chili pepper
Broccoli
Cauliflower
Brussels sprouts
Cabbage
Red cabbage
Kale
Spinach
Swiss chard
Lettuce
Arugula
Bok choy
Collard greens
Leek
Scallion
Shallot
Asparagus
Artichoke
Eggplant
Radish
Turnip
Rutabaga
Beet
Parsnip
Green beans
Snap peas
Snow peas
Peas
Corn
Mushroom
Fennel
Okra
Watercress
Endive
Radicchio
Celeriac
Kohlrabi
Daikon
Jicama
Napa cabbage
Chayote
Broccolini
Romanesco
Water chestnut
Tomatillo
